date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:49	209/209	---M-Z	200	added ('OK')	text/plain	etag:%220fb916e95c5d91:0%22	https://web.roblox.com/robots.txt		(from )
00:41:49	140/140	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Aug%202023%2017:41:15%20GMT	https://web.roblox.com/	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/web.roblox.com/index.html	(from )
00:41:50	81323/81323	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2017:41:15%20GMT	https://www.roblox.com/	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/www.roblox.com/index.html	(from https://web.roblox.com/)
00:41:50	209/209	---M-Z	200	added ('OK')	text/plain	etag:%220fb916e95c5d91:0%22	https://www.roblox.com/robots.txt		(from https://web.roblox.com/)
00:41:51	91483/91483	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Aug%202023%2017:41:16%20GMT	https://www.roblox.com/GET	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/www.roblox.com/GET.0.delayed	(from https://www.roblox.com/)
00:41:51	91484/91484	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Aug%202023%2017:41:17%20GMT	https://www.roblox.com/POST	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/www.roblox.com/POST.1.delayed	(from https://www.roblox.com/)
00:41:51	812020/812020	---MCZ	200	added ('OK')	text/css	etag:%22192bd398f702dece2f05bfd166e79afd%22	https://css.rbxcdn.com/f74ee1e07ed467ea0e60b654ad81ae7f13c442a6b2de519a685f51f651158851.css	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/css.rbxcdn.com/f74ee1e07ed467ea0e60b654ad81ae7f13c442a6b2de519a685f51f651158851.css	(from https://www.roblox.com/)
00:41:52	783/783	---M--	200	added ('OK')	text/css	etag:%22e1a3a1181eb36bc3251d844d250a3760%22	https://css.rbxcdn.com/d8d1cfe6a81efdc0eaa7a64ddeec42230944f4e6330e5eafafcda10cf9e5286a.css	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/css.rbxcdn.com/d8d1cfe6a81efdc0eaa7a64ddeec42230944f4e6330e5eafafcda10cf9e5286a.css	(from https://www.roblox.com/)
00:41:52	249/249	---M--	200	added ('OK')	text/css	etag:%224822b35d6907be7deb782a70cd7d8ac2%22	https://css.rbxcdn.com/b8f8f15a57a66e73469ae72eea7d8905346afa78b9f2397627cd099f7dcc779a.css	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/css.rbxcdn.com/b8f8f15a57a66e73469ae72eea7d8905346afa78b9f2397627cd099f7dcc779a.css	(from https://www.roblox.com/)
00:41:52	23083/23083	---M-Z	200	added ('OK')	text/css	etag:%22789ad21417af9b7485c0c0494c5c34c2%22	https://css.rbxcdn.com/fde27d6cece842fd4124e82fe615077ebe3d9463f6c863857e4cc56e148a28a8.css	C:/Users/james%20bonds123/Downloads/New%20folder%20(5)/RobloxV2/css.rbxcdn.com/fde27d6cece842fd4124e82fe615077ebe3d9463f6c863857e4cc56e148a28a8.css	(from https://www.roblox.com/)
